Daily_Calories,Breakfast,Lunch,Dinner,Snacks,Water_Intake_L
2447,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.8
3098,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
1867,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.3
2336,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.6
1965,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
1800,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.2
1916,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
2685,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
3101,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
3176,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
2853,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
2208,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,1.5
2437,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
1973,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.6
2053,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3.4
1908,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.2
2892,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2
4303,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.7
1911,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2
1805,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
2647,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
2879,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.1
3591,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
2176,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.5
2195,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.5
1850,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
3334,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
2779,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
2875,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
3679,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.4
1523,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
2867,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2411,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
3556,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3
3983,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
2308,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
1097,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
2190,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.5
3852,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.7
3233,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.9
2382,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3077,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.9
2789,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.2
2891,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
3261,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
2396,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.9
3698,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.5
2750,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.2
1889,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
3210,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
2754,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
3363,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3155,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
1733,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2933,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2711,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
1909,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.7
1287,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.2
2689,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
3141,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.8
3145,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2737,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
3134,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
2170,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.8
3632,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.9
2603,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
2365,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
2629,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
3001,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.8
3966,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
2217,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
2787,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
1392,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
2124,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
2507,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
2794,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
2652,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3.4
3145,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.3
1966,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,1.9
3004,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3
3693,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
2103,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.1
3925,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,3.7
3194,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3431,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.4
1798,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.7
3109,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.8
3132,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.5
3010,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
3323,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
2322,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,2.2
1585,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.1
2523,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
2542,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.4
2666,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.4
1767,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
2815,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2122,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
2398,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
2537,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.8
3072,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3
3640,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,3.1
2618,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
2613,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.8
2463,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3820,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,3.3
2422,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
2852,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.3
2037,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.5
3575,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.7
1689,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.8
1906,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.3
3074,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,1.8
3160,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.6
2587,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.9
2189,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.1
2748,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,3.5
2609,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
2775,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.9
2358,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.8
3275,Vegetarian breakfast: Oatmeal with fruits,Vegetarian lunch: Quinoa bowl with vegetables,Vegetarian dinner: Lentil curry with rice,Vegetarian snacks: Mixed nuts and dried fruits,2.5
2749,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3
2667,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3.7
2988,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.3
3241,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2491,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.7
2564,Allergy-safe breakfast: Oatmeal with seeds,Safe lunch: Turkey and vegetable wrap,Safe dinner: Grilled chicken with rice,Safe snacks: Apple slices with sunflower butter,2.9
2767,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.3
2248,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2955,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.6
1913,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2
2666,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,3.6
2441,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.6
2912,Vegan breakfast: Tofu scramble,Vegan lunch: Buddha bowl,Vegan dinner: Chickpea curry,Vegan snacks: Fresh fruits and seeds,3.3
1721,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2
2296,Low-carb breakfast: Eggs with vegetables,High-protein lunch: Grilled chicken salad,Balanced dinner: Fish with green vegetables,Sugar-free snacks: Nuts and seeds,2.6
3119,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,3.5
1553,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.2
1952,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,2.9
3287,Protein breakfast: Eggs and toast,Balanced lunch: Grilled chicken salad,Protein dinner: Salmon with vegetables,Healthy snacks: Greek yogurt with berries,1.8
